1000	spooky wardrobe
14D8	spooky table
14DC	lunar lander
14E0	satellite
14E4	mossy stone
14E8	leaning stone
14EC	dark stone
14F0	flying saucer
14F4	stone couple
14F8	garden pond
14FC	rocket
1500	Spaceman Sam
1504	spooky clock
1508	spooky lamp
150C	exotic bed
1510	exotic end table
1514	asteroid
1518	cabana lamp
151C	cabana table
1520	bucket
1524	scale
1528	faucet
152C	spa chair
1530	cabana screen
1534	cabana vanity
1538	cabana chair
153C	cabana bookcase
1540	Arwing
1544	lunar rover
1548	massage chair
154C	bath mat
1550	spa tub
1554	blue clock
1558	mochi pestle
155C	spooky vanity
1560	green desk
1564	clerk's booth
1568	modern chair
156C	modern end table
1570	space station
1574	spa screen
1578	cabin chair
157C	regal bed
1580	space shuttle
1584	regal vanity
1588	regal sofa
158C	regal lamp
1590	cabin table
1594	bath locker
1598	milk fridge
159C	tea set
15A0	Nook's portrait
15A4	gerbera
15A8	sunflower
15AC	daffodil
15B0	tall gongoid
15B4	mega gongoid
15B8	mini gongoid
15BC	gongoid
15C0	mini oombloid
15C4	oombloid
15C8	mega oombloid
15CC	tall oombloid
15D0	mega echoid
15D4	mini echoid
15D8	tall echoid
15DC	mini sputnoid
15E0	sputnoid
15E4	mega sputnoid
15E8	tall sputnoid
15EC	mini dinkoid
15F0	mini fizzoid
15F4	mega fizzoid
15F8	mega dinkoid
15FC	mini gargloid
1600	gargloid
1604	tall gargloid
1608	mega buzzoid
160C	tall buzzoid
1610	buzzoid
1614	mini buzzoid
1618	sproid
161C	mini sproid
1620	mega sproid
1624	tall sproid
1628	tootoid
162C	mini tootoid
1630	mega tootoid
1634	tall droploid
1638	mega bovoid
163C	tall bovoid
1640	mini metatoid
1644	metatoid
1648	mini bowtoid
164C	bowtoid
1650	mega bowtoid
1654	tall bowtoid
1658	mega lamentoid
165C	tall lamentoid
1660	lamentoid
1664	mini lamentoid
1668	mini timpanoid
166C	timpanoid
1670	mega timpanoid
1674	quazoid
1678	mega quazoid
167C	mega dekkoid
1680	dekkoid
1684	mini dekkoid
1688	mega alloid
168C	tall alloid
1690	mini alloid
1694	mini freakoid
1698	mega freakoid
169C	tall quazoid
16A0	mini quazoid
16A4	squat dingloid
16A8	mega dingloid
16AC	tall dingloid
16B0	dingloid
16B4	mini dingloid
16B8	wee dingloid
16BC	mega clankoid
16C0	clankoid
16C4	tall clankoid
16C8	mini clankoid
16CC	croakoid
16D0	mega croakoid
16D4	tall croakoid
16D8	mini croakoid
16DC	mega poltergoid
16E0	tall poltergoid
16E4	poltergoid
16E8	mini poltergoid
16EC	tall warbloid
16F0	warbloid
16F4	mini warbloid
16F8	mega rustoid
16FC	rustoid
1700	mini rustoid
1704	mega percoloid
1708	tall percoloid
170C	mega puffoid
1710	mini puffoid
1714	tall puffoid
1718	rhythmoid
171C	mini rhythmoid
1720	slim quazoid
1724	mega oboid
1728	oboid
172C	tall oboid
1730	tall timpanoid
1734	mini howloid
1738	howloid
173C	mega howloid
1740	mega harmonoid
1744	harmonoid
1748	tall harmonoid
174C	mini harmonoid
1750	tall strumboid
1754	mega strumboid
1758	strumboid
175C	mini strumboid
1760	mega lullaboid
1764	tall lullaboid
1768	lullaboid
176C	mini lullaboid
1770	mega drilloid
1774	drilloid
1778	mini drilloid
177C	mega nebuloid
1780	nebuloid
1784	squat nebuloid
1788	tall nebuloid
178C	mini nebuloid
1790	slim nebuloid
1794	mega plinkoid
1798	plinkoid
179C	mini plinkoid
17A0	squelchoid
17A4	mega squelchoid
17A8	mini squelchoid
17AC	flame shirt
17B0	paw shirt
17B4	wavy pink shirt
17B8	future shirt
17BC	bold check shirt
17C0	mint gingham
17C4	bad plaid shirt
17C8	speedway shirt
17CC	folk shirt
17D0	daisy shirt
17D4	wavy tan shirt
17D8	optical shirt
17DC	rugby shirt
17E0	sherbet gingham
17E4	yellow tartan
17E8	gelato shirt
17EC	work uniform
17F0	patched shirt
17F4	plum kimono
17F8	somber robe
17FC	red sweats
1800	blue sweats
1804	red puffy vest
1808	blue puffy vest
180C	summer robe
1810	bamboo robe
1814	red aloha shirt
1818	blue aloha shirt
181C	dark polka shirt
1820	lite polka shirt
1824	lovely shirt
1828	citrus shirt
182C	kiwi shirt
1830	watermelon shirt
1834	strawberry shirt
1838	grape shirt
183C	melon shirt
1840	Jingle shirt
1844	blossom shirt
1848	icy shirt
184C	crewel shirt
1850	tropical shirt
1854	ribbon shirt
1858	fall plaid shirt
185C	fiendish shirt
1860	chevron shirt
1864	ladybug shirt
1868	botanical shirt
186C	Anju's shirt
1870	Kaffe's shirt
1874	lavender robe
1878	blue grid shirt
187C	butterfly shirt
1880	blue tartan
1884	Gracie's top
1888	orange tie-dye
188C	purple tie-dye
1890	green tie-dye
1894	blue tie-dye
1898	red tie-dye
189C	one-ball shirt
18A0	two-ball shirt
18A4	three-ball shirt
18A8	four-ball shirt
18AC	five-ball shirt
18B0	six-ball shirt
18B4	seven-ball shirt
18B8	eight-ball shirt
18BC	nine-ball shirt
18C0	arctic camo
18C4	jungle camo
18C8	desert camo
18CC	rally shirt
18D0	racer shirt
18D4	racer 6 shirt
18D8	tomato juice shirt
18DC	spiderweb shirt
18E0	zipper shirt
18E4	bubble shirt
18E8	yellow bolero
18EC	nebula shirt
18F0	neo-classic knit
18F4	noble shirt
18F8	turnip top
18FC	oft-seen print
1900	ski sweater
1904	circus shirt
1908	patchwork top
190C	mod top
1910	hippie shirt
1914	rickrack shirt
1918	diner uniform
191C	shirt circuit
1920	U R here shirt
1924	yodel shirt
1928	pulse shirt
192C	prism shirt
1930	star shirt
1934	straw shirt
1938	noodle shirt
193C	dice shirt
1940	kiddie shirt
1944	frog shirt
1948	moody blue shirt
194C	cloudy shirt
1950	familiar shirt
1954	skull shirt
1958	desert shirt
195C	aurora knit
1960	winter sweater
1964	go-go shirt
1968	jade check print
196C	blue check print
1970	red grid shirt
1974	flicker shirt
1978	floral knit
197C	rose shirt
1980	sunset top
1984	chain-gang shirt
1988	spring shirt
198C	bear shirt
1990	MVP shirt
1994	silk bloom shirt
1998	pop bloom shirt
199C	loud bloom shirt
19A0	hot spring shirt
19A4	new spring shirt
19A8	deep blue tee
19AC	snowcone shirt
19B0	ugly shirt
19B4	sharp outfit
19B8	painter's smock
19BC	spade shirt
19C0	blossoming shirt
19C4	peachy shirt
19C8	static shirt
19CC	rainbow shirt
19D0	groovy shirt
19D4	loud line shirt
19D8	dazed shirt
19DC	red bar shirt
19E0	blue stripe knit
19E4	earthy knit
19E8	spunky knit
19EC	deer shirt
19F0	blue check shirt
19F4	light line shirt
19F8	blue pinstripe
19FC	diamond shirt
1A00	lime line shirt
1A04	big bro's shirt
1A08	green bar shirt
1A0C	yellow bar shirt
1A10	monkey shirt
1A14	polar fleece
1A18	ancient knit
1A1C	fish knit
1A20	vertigo shirt
1A24	misty shirt
1A28	stormy shirt
1A2C	red scale shirt
1A30	blue scale shirt
1A34	heart shirt
1A38	yellow pinstripe
1A3C	club shirt
1A40	li'l bro's shirt
1A44	argyle knit
1A48	caveman tunic
1A4C	cafe shirt
1A50	tiki shirt
1A54	A shirt
1A58	checkered shirt
1A5C	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A60	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A64	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A68	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A6C	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A70	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A74	¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡¡
1A78	BB shirt
1A7C	beatnik shirt
1A80	moldy shirt
1A84	W shirt
1A88	big star shirt
1A8C	orange pinstripe
1A90	twinkle shirt
1A94	funky dot shirt
1A98	crossing shirt
1A9C	splendid shirt
1AA0	jagged shirt
1AA4	denim shirt
1AA8	I love GC shirt
1AAC	gumdrop shirt
1AB0	barber shirt
1AB4	concierge shirt
1AB8	fresh shirt
1ABC	far-out shirt
1AC0	dawn shirt
1AC4	striking outfit
1AC8	red check shirt
1ACC	berry gingham
1AD0	lemon gingham
1AD4	dragon suit
1AD8	G logo shirt
1ADC	tin shirt
1AE0	jester shirt
1AE4	pink tartan
1AE8	waffle shirt
1AEC	gray tartan
1AF0	windsock shirt
1AF4	trendy top
1AF8	green ring shirt
1AFC	white ring shirt
1B00	snappy print
1B04	chichi print
1B08	wave print
1B0C	checkerboard tee
1B10	subdued print
1B14	airy shirt
1B18	coral shirt
1B1C	leather jerkin
1B20	zebra print
1B24	tiger print
1B28	cow print
1B2C	leopard print
1B30	danger shirt
1B34	big dot shirt
1B38	puzzling shirt
1B3C	exotic shirt
1B40	houndstooth knit
1B44	uncommon shirt
1B48	dapper shirt
1B4C	gaudy sweater
1B50	cozy sweater
1B54	comfy sweater
1B58	classic top
1B5C	vogue top
1B60	laced shirt
1B64	natty shirt
1B68	citrus gingham
1B6C	cool shirt
1B70	dreamy shirt
1B74	flowery shirt
1B78	caterpillar tee
1B7C	shortcake shirt
1B80	whirly shirt
1B84	thunder shirt
1B88	giraffe print
1B8C	swell shirt
1B90	toad print
1B94	grass shirt
1B98	mosaic shirt
1B9C	fetching outfit
1BA0	snow shirt
1BA4	melon gingham
1BA8	pattern clothing furniture 1
1BAC	pattern clothing furniture 2
1BB0	pattern clothing furniture 3
1BB4	pattern clothing furniture 4
1BB8	pattern clothing furniture 5
1BBC	pattern clothing furniture 6
1BC0	pattern clothing furniture 7
1BC4	pattern clothing furniture 8
1BC8	common butterfly
1BCC	yellow butterfly
1BD0	tiger butterfly
1BD4	purple butterfly
1BD8	robust cicada
1BDC	priest cicada
1BE0	evening cicada
1BE4	brown cicada
1BE8	bee
1BEC	common dragonfly
1BF0	red dragonfly
1BF4	darner dragonfly
1BF8	banded dragonfly
1BFC	long locust
1C00	migratory locust
1C04	cricket
1C08	grasshopper
1C0C	bell cricket
1C10	pine cricket
1C14	drone beetle
1C18	dynastid beetle
1C1C	flat stag beetle
1C20	jewel beetle
1C24	longhorn beetle
1C28	ladybug
1C2C	spotted ladybug
1C30	mantis
1C34	firefly
1C38	cockroach
1C3C	saw stag beetle
1C40	mountain beetle
1C44	giant beetle
1C48	snail
1C4C	mole cricket
1C50	pondskater
1C54	bagworm
1C58	pill bug
1C5C	spider
1C60	ant
1C64	mosquito
1C68	crucian carp
1C6C	herabuna
1C70	carp
1C74	koi
1C78	catfish
1C7C	small bass
1C80	bass
1C84	large bass
1C88	bluegill
1C8C	giant catfish
1C90	giant snakehead
1C94	barbel steed
1C98	dace
1C9C	pale chub
1CA0	bitterling
1CA4	loach
1CA8	pond smelt
1CAC	sweetfish
1CB0	cherry salmon
1CB4	large char
1CB8	rainbow trout
1CBC	stringfish
1CC0	salmon
1CC4	goldfish
1CC8	piranha
1CCC	arowana
1CD0	eel
1CD4	freshwater goby
1CD8	angelfish
1CDC	guppy
1CE0	popeyed goldfish
1CE4	coelacanth
1CE8	crawfish
1CEC	frog
1CF0	killifish
1CF4	jellyfish
1CF8	sea bass
1CFC	red snapper
1D00	barred knifejaw
1D04	arapaima
1D08	gelato umbrella
1D0C	daffodil parasol
1D10	berry umbrella
1D14	orange umbrella
1D18	mod umbrella
1D1C	petal parasol
1D20	ribbon parasol
1D24	gingham parasol
1D28	plaid parasol
1D2C	lacy parasol
1D30	elegant umbrella
1D34	dainty parasol
1D38	classic umbrella
1D3C	Nintendo parasol
1D40	bumbershoot
1D44	sunny parasol
1D48	batbrella
1D4C	checked umbrella
1D50	yellow umbrella
1D54	leaf umbrella
1D58	lotus parasol
1D5C	paper parasol
1D60	polka parasol
1D64	sharp umbrella
1D68	twig parasol
1D6C	noodle parasol
1D70	hypno parasol
1D74	pastel parasol
1D78	retro umbrella
1D7C	icy umbrella
1D80	blue umbrella
1D84	flame umbrella
1D88	pattern umbrella furniture 1
1D8C	pattern umbrella furniture 2
1D90	pattern umbrella furniture 3
1D94	pattern umbrella furniture 4
1D98	pattern umbrella furniture 5
1D9C	pattern umbrella furniture 6
1DA0	pattern umbrella furniture 7
1DA4	pattern umbrella furniture 8
1DA8	Clu Clu Land
1DAC	Balloon Fight
1DB0	Donkey Kong
1DB4	DK Jr MATH
1DB8	Pinball
1DBC	Tennis
1DC0	Golf
1DC4	Punchout
1DC8	Baseball
1DCC	Clu Clu Land D
1DD0	Donkey Kong 3
1DD4	Donkey Kong Jr
1DD8	Gomoku Narabe
1DDC	Mahjong
1DE0	Wario's Woods
1DE4	Ice Climber
1DE8	Mario Bros
1DEC	Super Mario Bros
1DF0	Legend of Zelda
1DF4	NES
1DF8	phonograph
1DFC	turntable
1E00	jukebox
1E04	red boom box
1E08	white boom box
1E0C	high-end stereo
1E10	hi-fi stereo
1E14	lovely stereo
1E18	Jingle lamp
1E1C	Jingle chair
1E20	Jingle shelves
1E24	Jingle sofa
1E28	Jingle bed
1E2C	Jingle clock
1E30	Jingle table
1E34	Jingle piano
1E38	Aiko figurine
1E3C	robo-stereo
1E40	dice stereo
1E44	apple clock
1E48	robo-clock
1E4C	kitschy clock
1E50	antique clock
1E54	reel-to-reel
1E58	tape deck
1E5C	CD player
1E60	glow clock
1E64	odd clock
1E68	red clock
1E6C	cube clock
1E70	owl clock
1E74	lucky cat
1E78	lucky black cat
1E7C	samurai suit
1E80	tanuki figurine
1E84	lucky frog
1E88	big festive tree
1E8C	white rook
1E90	black rook
1E94	white queen
1E98	black queen
1E9C	white bishop
1EA0	black bishop
1EA4	white king
1EA8	black king
1EAC	white knight
1EB0	black knight
1EB4	white pawn
1EB8	black pawn
1EBC	festive tree
1EC0	kiddie clock
1EC4	kiddie bed
1EC8	kiddie table
1ECC	kiddie couch
1ED0	kiddie stereo
1ED4	kiddie chair
1ED8	kiddie bookcase
1EDC	alcove
1EE0	hearth
1EE4	chalk board
1EE8	mop
1EEC	tricera skull
1EF0	tricera tail
1EF4	tricera torso
1EF8	T-rex skull
1EFC	T-rex tail
1F00	T-rex torso
1F04	apato skull
1F08	apato tail
1F0C	apato torso
1F10	stego skull
1F14	stego tail
1F18	stego torso
1F1C	ptera skull
1F20	ptera right wing
1F24	ptera left wing
1F28	plesio skull
1F2C	plesio neck
1F30	plesio torso
1F34	mammoth skull
1F38	mammoth torso
1F3C	amber
1F40	dinosaur track
1F44	ammonite
1F48	dinosaur egg
1F4C	trilobite
1F50	modern lamp
1F54	Snowman fridge
1F58	Snowman table
1F5C	Snowman bed
1F60	Snowman chair
1F64	Snowman lamp
1F68	Snowman sofa
1F6C	Snowman TV
1F70	Snowman dresser
1F74	Snowman wardrobe
1F78	Snowman clock
1F7C	tricera D
1F80	T-rex D
1F84	bronto D
1F88	ptera D
1F8C	HUTABAD
1F90	mammoth D
1F94	stego D
1F98	stego D2
1F9C	fossil furniture
1FA0	shogi piece
1FA4	chocolates
1FA8	mailbox
1FAC	piggy bank
1FB0	tissue
1FB4	tribal mask
1FB8	matryoshka
1FBC	Legend of Zelda
1FC0	bottled ship
1FC4	tiger bobblehead
1FC8	Moai statue
1FCC	aerobics radio
1FD0	pagoda
1FD4	fishing bear
1FD8	Mouth of Truth
1FDC	Chinese lioness
1FE0	Tower of Pisa
1FE4	Merlion
1FE8	Manekin Pis
1FEC	Tokyo Tower
1FF0	red balloon
1FF4	yellow balloon
1FF8	blue balloon
1FFC	green balloon
2000	airmail paper (1)
2001	sparkly paper (1)
2002	bamboo paper (1)
2003	danger paper (1)
2004	essay paper (1)
2005	panda paper (1)
2006	ranch paper (1)
2007	steel paper (1)
2008	blossom paper (1)
2009	vine paper (1)
200A	cloudy paper (1)
200B	petal paper (1)
200C	snowy paper (1)
200D	rainy day paper (1)
200E	watermelon paper (1)
200F	deep sea paper (1)
2010	starry sky paper (1)
2011	daisy paper (1)
2012	bluebell paper (1)
2013	maple leaf paper (1)
2014	woodcut paper (1)
2015	octopus paper (1)
2016	festive paper (1)
2017	skyline paper (1)
2018	museum paper (1)
2019	fortune paper (1)
201A	stageshow paper (1)
201B	thick paper (1)
201C	spooky paper (1)
201D	noodle paper (1)
201E	neat paper (1)
201F	horsetail paper (1)
2020	felt paper (1)
2021	parchment (1)
2022	cool paper (1)
2023	elegant paper (1)
2024	lacy paper (1)
2025	polka-dot paper (1)
2026	dizzy paper (1)
2027	rainbow paper (1)
2028	hot neon paper (1)
2029	cool neon paper (1)
202A	aloha paper (1)
202B	ribbon paper (1)
202C	fantasy paper (1)
202D	woodland paper (1)
202E	gingko paper (1)
202F	fireworks paper (1)
2030	winter paper (1)
2031	gyroid paper (1)
2032	ivy paper (1)
2033	wing paper (1)
2034	dragon paper (1)
2035	tile paper (1)
2036	misty paper (1)
2037	simple paper (1)
2038	honeybee paper (1)
2039	mystic paper (1)
203A	sunset paper (1)
203B	lattice paper (1)
203C	dainty paper (1)
203D	butterfly paper (1)
203E	new year's card (1)
203F	inky paper (1)
2040	airmail paper (2)
2041	sparkly paper (2)
2042	bamboo paper (2)
2043	danger paper (2)
2044	essay paper (2)
2045	panda paper (2)
2046	ranch paper (2)
2047	steel paper (2)
2048	blossom paper (2)
2049	vine paper (2)
204A	cloudy paper (2)
204B	petal paper (2)
204C	snowy paper (2)
204D	rainy day paper (2)
204E	watermelon paper (2)
204F	deep sea paper (2)
2050	starry sky paper (2)
2051	daisy paper (2)
2052	bluebell paper (2)
2053	maple leaf paper (2)
2054	woodcut paper (2)
2055	octopus paper (2)
2056	festive paper (2)
2057	skyline paper (2)
2058	museum paper (2)
2059	fortune paper (2)
205A	stageshow paper (2)
205B	thick paper (2)
205C	spooky paper (2)
205D	noodle paper (2)
205E	neat paper (2)
205F	horsetail paper (2)
2060	felt paper (2)
2061	parchment (2)
2062	cool paper (2)
2063	elegant paper (2)
2064	lacy paper (2)
2065	polka-dot paper (2)
2066	dizzy paper (2)
2067	rainbow paper (2)
2068	hot neon paper (2)
2069	cool neon paper (2)
206A	aloha paper (2)
206B	ribbon paper (2)
206C	fantasy paper (2)
206D	woodland paper (2)
206E	gingko paper (2)
206F	fireworks paper (2)
2070	winter paper (2)
2071	gyroid paper (2)
2072	ivy paper (2)
2073	wing paper (2)
2074	dragon paper (2)
2075	tile paper (2)
2076	misty paper (2)
2077	simple paper (2)
2078	honeybee paper (2)
2079	mystic paper (2)
207A	sunset paper (2)
207B	lattice paper (2)
207C	dainty paper (2)
207D	butterfly paper (2)
207E	new year's card (2)
207F	inky paper (2)
2080	airmail paper (3)
2081	sparkly paper (3)
2082	bamboo paper (3)
2083	danger paper (3)
2084	essay paper (3)
2085	panda paper (3)
2086	ranch paper (3)
2087	steel paper (3)
2088	blossom paper (3)
2089	vine paper (3)
208A	cloudy paper (3)
208B	petal paper (3)
208C	snowy paper (3)
208D	rainy day paper (3)
208E	watermelon paper (3)
208F	deep sea paper (3)
2090	starry sky paper (3)
2091	daisy paper (3)
2092	bluebell paper (3)
2093	maple leaf paper (3)
2094	woodcut paper (3)
2095	octopus paper (3)
2096	festive paper (3)
2097	skyline paper (3)
2098	museum paper (3)
2099	fortune paper (3)
209A	stageshow paper (3)
209B	thick paper (3)
209C	spooky paper (3)
209D	noodle paper (3)
209E	neat paper (3)
209F	horsetail paper (3)
20A0	felt paper (3)
20A1	parchment (3)
20A2	cool paper (3)
20A3	elegant paper (3)
20A4	lacy paper (3)
20A5	polka-dot paper (3)
20A6	dizzy paper (3)
20A7	rainbow paper (3)
20A8	hot neon paper (3)
20A9	cool neon paper (3)
20AA	aloha paper (3)
20AB	ribbon paper (3)
20AC	fantasy paper (3)
20AD	woodland paper (3)
20AE	gingko paper (3)
20AF	fireworks paper (3)
20B0	winter paper (3)
20B1	gyroid paper (3)
20B2	ivy paper (3)
20B3	wing paper (3)
20B4	dragon paper (3)
20B5	tile paper (3)
20B6	misty paper (3)
20B7	simple paper (3)
20B8	honeybee paper (3)
20B9	mystic paper (3)
20BA	sunset paper (3)
20BB	lattice paper (3)
20BC	dainty paper (3)
20BD	butterfly paper (3)
20BE	new year's card (3)
20BF	inky paper (3)
20C0	airmail paper (4)
20C1	sparkly paper (4)
20C2	bamboo paper (4)
20C3	danger paper (4)
20C4	essay paper (4)
20C5	panda paper (4)
20C6	ranch paper (4)
20C7	steel paper (4)
20C8	blossom paper (4)
20C9	vine paper (4)
20CA	cloudy paper (4)
20CB	petal paper (4)
20CC	snowy paper (4)
20CD	rainy day paper (4)
20CE	watermelon paper (4)
20CF	deep sea paper (4)
20D0	starry sky paper (4)
20D1	daisy paper (4)
20D2	bluebell paper (4)
20D3	maple leaf paper (4)
20D4	woodcut paper (4)
20D5	octopus paper (4)
20D6	festive paper (4)
20D7	skyline paper (4)
20D8	museum paper (4)
20D9	fortune paper (4)
20DA	stageshow paper (4)
20DB	thick paper (4)
20DC	spooky paper (4)
20DD	noodle paper (4)
20DE	neat paper (4)
20DF	horsetail paper (4)
20E0	felt paper (4)
20E1	parchment (4)
20E2	cool paper (4)
20E3	elegant paper (4)
20E4	lacy paper (4)
20E5	polka-dot paper (4)
20E6	dizzy paper (4)
20E7	rainbow paper (4)
20E8	hot neon paper (4)
20E9	cool neon paper (4)
20EA	aloha paper (4)
20EB	ribbon paper (4)
20EC	fantasy paper (4)
20ED	woodland paper (4)
20EE	gingko paper (4)
20EF	fireworks paper (4)
20F0	winter paper (4)
20F1	gyroid paper (4)
20F2	ivy paper (4)
20F3	wing paper (4)
20F4	dragon paper (4)
20F5	tile paper (4)
20F6	misty paper (4)
20F7	simple paper (4)
20F8	honeybee paper (4)
20F9	mystic paper (4)
20FA	sunset paper (4)
20FB	lattice paper (4)
20FC	dainty paper (4)
20FD	butterfly paper (4)
20FE	new year's card (4)
20FF	inky paper (4)
2100	1,000 Bells
2101	10,000 Bells
2102	30,000 Bells
2103	100 Bells
2200	net
2201	axe
2202	shovel
2203	fishing rod
2204	gelato umbrella
2205	daffodil parasol
2206	berry umbrella
2207	orange umbrella
2208	mod umbrella
2209	petal parasol
220A	ribbon parasol
220B	gingham parasol
220C	plaid parasol
220D	lacy parasol
220E	elegant umbrella
220F	dainty parasol
2210	classic umbrella
2211	Nintendo parasol
